id,region
2,"Chişinău"
3,"Bălţi"
5,"Anenii Noi"
6,"Basarabeasca"
7,"Briceni"
8,"Cahul"
9,"Cantemir"
10,"Călăraşi"
11,"Căuşeni"
12,"Cimişlia"
13,"Criuleni"
14,"Donduşeni"
15,"Drochia"
16,"Dubăsari"
17,"Edineţ"
18,"Făleşti"
19,"Floreşti"
20,"Glodeni"
21,"Hînceşti"
22,"Ialoveni"
23,"Leova"
24,"Nisporeni"
25,"Ocniţa"
26,"Orhei"
27,"Rezina"
28,"Rîşcani"
29,"Sîngerei"
30,"Soroca"
31,"Străşeni"
32,"Şoldăneşti"
33,"Ştefan Vodă"
34,"Taraclia"
35,"Teleneşti"
36,"Ungheni"
37,"UTA Găgăuzia"
14721,"UAT din stînga Nistrului"